# Logfile LoRaWAN TTN/TTS V3 logger version hka-log V 1.1
date_time;device_id;tmp;hum;CO2;VOC;vis;IR;WIFI;BLE;rssi;channel_rssi;snr;gateway;channel_index;spreading_factor;bandwidth;f_cnt
2023-05-22 00:02:26; hka-aqm-am003a;  25.49;  40.61;   423;   670;     5;     0;     3;     1;  -114;  -114;   1.8; drag-lps8-05; 4; 7; 125000; 8732
2023-05-22 00:17:32; hka-aqm-am003a;  25.38;  40.74;   426;   660;     4;     0;     0;     0;  -113;  -113;   2.0; drag-lps8-05; 2; 7; 125000; 8733
2023-05-22 00:32:38; hka-aqm-am003a;  25.31;  41.26;   424;   651;     5;     1;     3;     0;  -111;  -111;   0.2; drag-lps8-05; 6; 7; 125000; 8734
2023-05-22 00:47:45; hka-aqm-am003a;  25.23;  41.30;   426;   658;     4;     0;     3;     1;  -118;  -118;  -3.5; drag-lps8-03; 3; 7; 125000; 8735
2023-05-22 01:02:52; hka-aqm-am003a;  25.14;  41.69;   424;   667;     7;     2;     0;     0;  -112;  -112;   1.2; drag-lps8-05; 5; 7; 125000; 8736
2023-05-22 01:17:58; hka-aqm-am003a;  25.07;  41.79;   427;   641;     7;     2;     3;     0;  -116;  -116;  -2.5; drag-lps8-05; 3; 7; 125000; 8737
2023-05-22 01:33:05; hka-aqm-am003a;  24.99;  41.98;   423;   629;     7;     2;     3;     1;  -110;  -110;   2.5; drag-lps8-03; 1; 7; 125000; 8738
2023-05-22 01:48:12; hka-aqm-am003a;  24.92;  42.24;   424;   609;     4;     0;     0;     0;  -109;  -109;   0.5; drag-lps8-03; 6; 7; 125000; 8739
2023-05-22 02:03:18; hka-aqm-am003a;  24.85;  42.44;   430;   631;     5;     0;     1;     0;  -112;  -112;   1.8; drag-lps8-05; 2; 7; 125000; 8740
2023-05-22 02:18:26; hka-aqm-am003a;  24.77;  42.67;   434;   580;     5;     1;     3;     1;  -114;  -114;   2.2; drag-lps8-05; 7; 7; 125000; 8741
2023-05-22 02:33:32; hka-aqm-am003a;  24.70;  42.83;   427;   591;     5;     0;     0;     0;  -113;  -113;   1.5; drag-lps8-05; 4; 7; 125000; 8742
2023-05-22 02:48:39; hka-aqm-am003a;  24.66;  42.90;   430;   589;     5;     0;     0;     0;  -113;  -113;   3.2; drag-lps8-05; 0; 7; 125000; 8743
2023-05-22 03:03:46; hka-aqm-am003a;  24.60;  43.03;   427;   574;     7;     2;     3;     1;  -113;  -113;   2.2; drag-lps8-05; 4; 7; 125000; 8744
2023-05-22 03:18:52; hka-aqm-am003a;  24.55;  43.12;   428;   573;     5;     0;     1;     0;  -113;  -113;   1.2; drag-lps8-03; 5; 7; 125000; 8745
2023-05-22 03:33:58; hka-aqm-am003a;  24.50;  43.29;   429;   562;     5;     0;     0;     0;  -116;  -116;  -2.2; drag-lps8-05; 3; 7; 125000; 8746
2023-05-22 03:49:05; hka-aqm-am003a;  24.46;  43.45;   430;   575;     5;     0;     3;     1;  -113;  -113;   3.5; drag-lps8-05; 0; 7; 125000; 8747
2023-05-22 04:04:11; hka-aqm-am003a;  24.40;  43.55;   430;   559;     5;     1;     2;     0;  -111;  -111;   2.2; drag-lps8-03; 7; 7; 125000; 8748
2023-05-22 04:19:18; hka-aqm-am003a;  24.35;  43.71;   432;   576;     4;     0;     0;     0;  -109;  -109;   2.5; drag-lps8-03; 2; 7; 125000; 8749
2023-05-22 04:34:26; hka-aqm-am003a;  24.31;  43.81;   437;   587;     6;     2;     0;     0;  -111;  -111;   0.2; drag-lps8-03; 6; 7; 125000; 8750
2023-05-22 04:49:32; hka-aqm-am003a;  24.26;  43.87;   440;   576;     5;     0;     3;     1;  -112;  -112;   1.5; drag-lps8-05; 1; 7; 125000; 8751
2023-05-22 05:04:39; hka-aqm-am003a;  24.22;  44.00;   434;   584;     5;     0;     1;     0;  -120;  -120;  -6.0; drag-lps8-03; 3; 7; 125000; 8752
2023-05-22 05:18:25; hka-aqm-am003a;  24.15;  44.10;   440;   586;   311;    38;     2;     0;  -112;  -112;   2.2; drag-lps8-05; 2; 7; 125000; 8754
