# Logfile LoRaWAN TTN/TTS V3 logger version hka-log V 1.1
date_time;device_id;tmp;hum;CO2;VOC;vis;IR;WIFI;BLE;rssi;channel_rssi;snr;gateway;channel_index;spreading_factor;bandwidth;f_cnt
2023-02-05 00:08:22; hka-aqm-am003b;  20.14;  34.92;   497;   824;     6;     0;     2;    10;  -113;  -113;   0.2; drag-lps8-03; 3; 7; 125000; 188
2023-02-05 00:23:28; hka-aqm-am003b;  20.10;  34.89;   497;   795;     9;     3;     2;    10;  -114;  -114;   4.5; drag-lps8-03; 0; 7; 125000; 189
2023-02-05 00:38:35; hka-aqm-am003b;  20.10;  34.82;   491;   776;     6;     0;     2;    10;  -112;  -112;   3.5; drag-lps8-03; 4; 7; 125000; 190
2023-02-05 00:53:41; hka-aqm-am003b;  20.08;  34.79;   494;   750;     6;     0;     2;    10;  -111;  -111;   3.2; drag-lps8-03; 6; 7; 125000; 191
2023-02-05 01:08:48; hka-aqm-am003b;  20.06;  34.72;   489;   751;     6;     0;     2;    10;  -113;  -113;   2.8; drag-lps8-03; 2; 7; 125000; 192
2023-02-05 01:23:55; hka-aqm-am003b;  20.05;  34.66;   483;   713;     6;     2;     2;    10;  -125;  -125;  -7.2; drag-lps8-05; 4; 7; 125000; 193
2023-02-05 01:39:01; hka-aqm-am003b;  20.04;  34.66;   490;   675;     6;     2;     2;    10;  -113;  -113;   3.8; drag-lps8-03; 7; 7; 125000; 194
2023-02-05 01:54:09; hka-aqm-am003b;  20.02;  34.59;   477;   657;     6;     0;     2;    10;  -111;  -111;   3.2; drag-lps8-03; 2; 7; 125000; 195
2023-02-05 02:09:15; hka-aqm-am003b;  20.03;  34.56;   481;   642;     6;     0;     2;    10;  -113;  -113;   2.2; drag-lps8-03; 6; 7; 125000; 196
2023-02-05 02:24:21; hka-aqm-am003b;  20.03;  34.49;   475;   667;     6;     0;     2;    10;  -122;  -122;  -7.0; drag-lps8-05; 1; 7; 125000; 197
2023-02-05 02:39:30; hka-aqm-am003b;  20.00;  34.46;   475;   620;     6;     0;     2;    10;  -122;  -122;  -4.2; drag-lps8-05; 0; 7; 125000; 198
2023-02-05 02:54:36; hka-aqm-am003b;  19.99;  34.42;   468;   624;     6;     0;     2;    10;  -112;  -112;   1.0; drag-lps8-03; 3; 7; 125000; 199
2023-02-05 03:09:42; hka-aqm-am003b;  19.99;  34.32;   472;   594;     6;     0;     2;    10;  -111;  -111;   3.2; drag-lps8-03; 5; 7; 125000; 200
2023-02-05 03:24:49; hka-aqm-am003b;  19.97;  34.29;   468;   577;     6;     0;     2;    10;  -126;  -126;  -7.2; drag-lps8-05; 7; 7; 125000; 201
2023-02-05 03:39:55; hka-aqm-am003b;  19.99;  34.26;   465;   597;     6;     0;     2;    10;  -121;  -121;  -6.8; drag-lps8-05; 1; 7; 125000; 202
2023-02-05 03:55:01; hka-aqm-am003b;  19.99;  34.19;   459;   600;     6;     0;     2;    10;  -112;  -112;   2.5; drag-lps8-03; 6; 7; 125000; 203
2023-02-05 04:10:10; hka-aqm-am003b;  20.00;  34.12;   457;   600;     6;     1;     2;    10;  -124;  -124;  -5.2; drag-lps8-05; 0; 7; 125000; 204
2023-02-05 04:25:17; hka-aqm-am003b;  20.00;  34.06;   457;   625;     6;     0;     2;    10;  -113;  -113;   3.0; drag-lps8-03; 5; 7; 125000; 205
2023-02-05 04:40:23; hka-aqm-am003b;  19.98;  33.99;   456;   595;     6;     2;     2;    10;  -113;  -113;   3.5; drag-lps8-03; 4; 7; 125000; 206
2023-02-05 04:55:31; hka-aqm-am003b;  20.00;  33.99;   455;   604;     6;     0;     2;    10;  -110;  -110;   2.8; drag-lps8-03; 2; 7; 125000; 207
2023-02-05 05:10:37; hka-aqm-am003b;  20.00;  33.92;   453;   599;     6;     1;     2;    10;  -114;  -114;   0.5; drag-lps8-03; 3; 7; 125000; 208
2023-02-05 05:25:43; hka-aqm-am003b;  20.00;  33.89;   450;   594;     6;     0;     2;    10;  -111;  -111;   3.5; drag-lps8-03; 2; 7; 125000; 209
2023-02-05 05:40:51; hka-aqm-am003b;  20.00;  33.86;   454;   593;     6;     2;     2;    10;  -113;  -113;   2.5; drag-lps8-03; 6; 7; 125000; 210
2023-02-05 05:55:57; hka-aqm-am003b;  19.99;  33.86;   458;   591;     6;     0;     2;    10;  -113;  -113;   3.0; drag-lps8-03; 1; 7; 125000; 211
2023-02-05 06:11:03; hka-aqm-am003b;  19.99;  33.79;   450;   574;     6;     1;     2;    10;  -113;  -113;   2.0; drag-lps8-03; 5; 7; 125000; 212
2023-02-05 06:26:10; hka-aqm-am003b;  19.98;  33.79;   444;   537;     6;     0;     2;    10;  -113;  -113;   3.5; drag-lps8-03; 4; 7; 125000; 213
2023-02-05 06:41:16; hka-aqm-am003b;  19.96;  33.79;   454;   603;     9;     3;     2;    10;  -126;  -126;  -6.5; drag-lps8-05; 7; 7; 125000; 214
2023-02-05 06:56:22; hka-aqm-am003b;  19.97;  33.72;   450;   573;     6;     0;     2;    10;  -114;  -114; nan; drag-lps8-03; 3; 7; 125000; 215
2023-02-05 07:11:29; hka-aqm-am003b;  19.98;  33.66;   444;   584;     9;     3;     2;    10;  -123;  -123;  -5.2; drag-lps8-05; 0; 7; 125000; 216
2023-02-05 07:26:36; hka-aqm-am003b;  19.97;  33.66;   443;   580;     6;     0;     2;    10;  -114;  -114;   4.0; drag-lps8-03; 7; 7; 125000; 217
2023-02-05 07:41:42; hka-aqm-am003b;  19.96;  33.66;   442;   589;     6;     1;     2;    10;  -112;  -112;   3.2; drag-lps8-03; 5; 7; 125000; 218
2023-02-05 07:56:50; hka-aqm-am003b;  19.95;  33.66;   444;   589;     6;     1;     2;    10;  -112;  -112;  -0.5; drag-lps8-03; 3; 7; 125000; 219
