# Logfile LoRaWAN TTN/TTS V3 logger version hka-log V 1.1
date_time;device_id;tmp;hum;CO2;VOC;vis;IR;WIFI;BLE;rssi;channel_rssi;snr;gateway;channel_index;spreading_factor;bandwidth;f_cnt
2023-03-04 00:00:42; hka-aqm-am005;  20.44;  28.26;   546;   888;     7;     1;     3;     5;  -107;  -107;   8.0; drag-lps8-05; 3; 8; 125000; 3474
2023-03-04 00:15:48; hka-aqm-am005;  20.39;  28.30;   538;   882;    10;     3;     3;     5;  -117;  -117;   4.5; drag-lps8-03; 0; 8; 125000; 3475
2023-03-04 00:30:55; hka-aqm-am005;  20.36;  28.26;   537;   881;    10;     3;     3;     5;  -113;  -113;   3.2; drag-lps8-03; 6; 8; 125000; 3476
2023-03-04 00:46:02; hka-aqm-am005;  20.31;  28.33;   532;   873;     7;     1;     3;     5;  -113;  -113;   3.2; drag-lps8-03; 2; 8; 125000; 3477
2023-03-04 01:01:08; hka-aqm-am005;  20.27;  28.40;   529;   858;    10;     3;     3;     5;  -111;  -111;   6.5; drag-lps8-03; 4; 8; 125000; 3478
2023-03-04 01:16:16; hka-aqm-am005;  20.22;  28.40;   530;   784;    10;     3;     3;     5;  -115;  -115;   3.8; drag-lps8-03; 7; 8; 125000; 3479
2023-03-04 01:31:36; hka-aqm-am005;  20.19;  28.40;   531;   831;     7;     1;     3;     5;  -113;  -113;   1.5; drag-lps8-03; 5; 8; 125000; 3481
2023-03-04 01:46:55; hka-aqm-am005;  20.14;  28.50;   520;   811;     7;     1;     3;     5;  -103;  -103;   7.2; drag-lps8-05; 2; 8; 125000; 3483
2023-03-04 02:02:16; hka-aqm-am005;  20.10;  28.47;   516;   793;     7;     1;     3;     5;  -103;  -103;   7.2; drag-lps8-05; 5; 8; 125000; 3485
2023-03-04 02:17:22; hka-aqm-am005;  20.06;  28.47;   513;   769;     7;     1;     3;     5;  -101;  -101;   9.0; drag-lps8-05; 6; 8; 125000; 3486
2023-03-04 02:32:28; hka-aqm-am005;  20.02;  28.53;   512;   751;    10;     3;     3;     5;  -102;  -102;   9.8; drag-lps8-05; 4; 8; 125000; 3487
2023-03-04 02:47:36; hka-aqm-am005;  19.99;  28.53;   511;   720;    10;     3;     3;     5;  -105;  -105;  10.0; drag-lps8-05; 7; 8; 125000; 3488
2023-03-04 03:02:56; hka-aqm-am005;  19.96;  28.53;   503;   731;    10;     3;     3;     5;  -107;  -107;   9.5; drag-lps8-05; 7; 8; 125000; 3490
2023-03-04 03:18:16; hka-aqm-am005;  19.92;  28.53;   499;   726;     7;     1;     3;     5;  -105;  -105;   8.2; drag-lps8-05; 1; 8; 125000; 3492
2023-03-04 03:33:23; hka-aqm-am005;  19.88;  28.57;   505;   720;    10;     3;     3;     5;  -107;  -107;   7.0; drag-lps8-05; 2; 8; 125000; 3493
